SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1
CN1C=CC=C1C2=NNC(=C2)C(=O)O,644947,3.502,4.083,3.2034,4.184266,-0.2986,0.10126599999999986,0.0445,0.031229,-0.013270999999999998,3.0988908704359526,3.8859487684180003
CN(C)N=NCC1=CC=CC=C1,153577,3.405,4.196,3.1881,4.384843,-0.21689999999999987,0.18884300000000032,0.0016,0.003842,0.002242,2.7706337960567504,4.546940003481199
COC1=CC=CC=C1OC,7043,3.937,4.534,3.6593,5.020174,-0.27769999999999984,0.4861740000000001,0.0643,0.038229,-0.026070999999999997,3.475543823398479,4.939743823833676
CC1=COC2=CC=CC=C2C1=O,66569,3.411,3.924,3.1631,3.75265,-0.2479,-0.1713499999999999,0.0,4.6e-05,4.6e-05,2.9969566028234875,3.8116064999067847
CC1=CC=CC=C1C2=CC=CC=C2C,11797,4.989,5.019,3.6873,5.219885,-1.3016999999999999,0.20088499999999954,0.0002,0.007529,0.0073290000000000004,3.9395346540611214,5.009541660319993
CCCCOCC(COCCCC)O,16669,6.869,6.869,6.3437,6.432117,-0.5252999999999997,-0.4368829999999999,0.021,0.013422,-0.007578000000000001,6.552815041006394,6.696200525021596
C1=CC=C(C=C1)CN=C(N)N,16644,4.709,5.103,3.7309,5.124408,-0.9780999999999995,0.021408000000000094,0.0006,0.00122,0.00062,4.092581239285757,5.34091308097099
CCCCCCCCCCCCCN,40761,6.243,6.259,5.3281,5.544699,-0.9149000000000003,-0.7143010000000007,0.0132,0.01049,-0.0027100000000000006,5.2384401376356955,5.52949517706318
CC(=O)C1=CC(=CC=C1)C(F)(F)F,67682,3.912,3.914,3.182,3.680992,-0.73,-0.23300800000000033,0.0,6.2e-05,6.2e-05,3.250568431926905,3.7887449325171243
CCNC1=NC(=NC(=N1)Cl)Cl,18926,4.338,4.907,4.1073,4.780962,-0.23069999999999968,-0.12603800000000032,0.0778,0.022088,-0.055712,3.74251112247004,4.749392045137509
CC1=CC2=C(C=C1)OC(=N2)C3=CC=CS3,2737827,3.02,4.047,2.5481,3.892179,-0.4719000000000002,-0.15482099999999965,1.0346,0.679701,-0.35489899999999996,2.5207612231776317,3.9548963853913683
C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,3598,4.17,4.637,3.4446,4.560986,-0.7254,-0.0760139999999998,0.0666,0.041557,-0.02504300000000001,3.5000297075102162,4.550933746403479
CN(C)C1=CC=CC2=C1N=CC=C2,5205884,2.388,3.231,2.7669,3.067853,0.37890000000000024,-0.16314699999999993,0.2181,9.9e-05,-0.218001,2.3362213314074145,3.3968154583269117
